message_id	response_id	article_id	empathy	distress	empathy_bin	distress_bin	essay	emotion	gender	education	race	age	income	personality_conscientiousness	personality_openess	personality_extraversion	personality_agreeableness	personality_stability	iri_perspective_taking	iri_personal_distress	iri_fantasy	iri_empathatic_concern	conversation_id	speaker_id	speaker_number	split	essay_id
R_0wUJf4IdNJLqmjL_1	R_0wUJf4IdNJLqmjL	34	5.332999999999999	4.0	1.0	1.0	I thought the article was quite sad to read and disheartening to hear about the Iraqi people. I felt sad for them knowing their future was uncertain and how hard it was to find a job. The economy they deal with is much worse than ours and I can only imagine how difficult it must be living there. I hope that it gets better in the future.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999					
R_0wUJf4IdNJLqmjL_2	R_0wUJf4IdNJLqmjL	99	4.833	3.125	1.0	0.0	I'm sorry to hear that about Dakota's parents. Even when you are adult it must be hard to see your parents splitting up. No one wants that to happen and it's unfortunate that her parents couldn't work it out. I hope they are able to still remain civil around the kids and family. Just because it didn't work romantically doesn't mean it won't work at all.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999					
R_0wUJf4IdNJLqmjL_3	R_0wUJf4IdNJLqmjL	170	5.0	4.25	1.0	1.0	Hearing about the violence going on over politics in the country is really sad and upsetting. It's easy to take for granted how we live and how lucky we are that we don't have to worry about people killing us on a daily basis. Our government is also democratic which means people have a voice. This isn't the case in some areas/	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999					
R_0wUJf4IdNJLqmjL_4	R_0wUJf4IdNJLqmjL	322	3.333	3.5	0.0	0.0	I think almost everyone has an opinion on Hilary Clinton over Donald Trump. Many didn't expect Donald to win the election but here we are. So many political scandals unfolded and more continuing to unravel. Many didn't agree with Hilary from the Bengazi investigation and many didn't agree with Trump, but in the end that's just politics.	neutral	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999					
R_0wUJf4IdNJLqmjL_5	R_0wUJf4IdNJLqmjL	370	5.0	4.25	1.0	1.0	It's so sad to see that world hunger is still such a large issue in other countries, especially when it seems like so much of our food goes to waste. Children passing out in the streets simply because they have no food to eat is heartbreaking. No one should have to suffer simply because they can't afford food. There needs to be another option.	sadness	2	6	1	25	75000	7.0	7.0	4.5	6.5	6.5	4.143	2.4290000000000003	3.571	4.428999999999999					
R_5sVTXudr799nqgx_1	R_5sVTXudr799nqgx	53	2.0	5.375	0.0	1.0	It's really amazing to me how much food we waste as a country considering how overweight and obese people are. I can't believe how wasteful it all is, if you think about it. A lot of the food we eat, we don't need, and then we throw away so much too! All that food belongs with people who really need it. I wish people would donate more and that restaurants could donate their unused food to homeless shelters.	surprise	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001					
R_5sVTXudr799nqgx_2	R_5sVTXudr799nqgx	120	1.0	4.125	0.0	1.0	This is a crazy story with so many facets to it, omg. I mean on one hand, I don't support an eye for an eye. I don't support the death penalty and I don't support blinding someone. BUT on the other hand, this is a country where women really struggle and the justice system is not well developed. ALSO, he blinded a FOUR YEAR OLD GIRL. What the fuck is wrong with this guy. So if this was in America I would not support it, but I don't feel right condemning the actions of an entirely different country for doing what they felt needed to be done.	anger	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001					
R_5sVTXudr799nqgx_3	R_5sVTXudr799nqgx	185	5.5	3.75	1.0	0.0	I've heard of necrotizing fasciitis before. It's really fucking scary to think that just from a tiny little cut you could get a disease that has a high likelihood of killing you. There's also a similar bacteria called naegleria fowlerii that can get into your body from water going up your nostrils and it basically eats your brain. Nature is fucking metal.	disgust	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001					
R_5sVTXudr799nqgx_4	R_5sVTXudr799nqgx	273	5.667000000000001	4.5	1.0	1.0	I totally support these protesters. We've had trouble with oil pipelines here in Michigan. I feel like these pipelines are foisted on local communities without any care for whether it is good for the community and without adequate studies as to how safe they are from leaks and pollution. There are more important things in life than money and oil.	disgust	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001					
R_5sVTXudr799nqgx_5	R_5sVTXudr799nqgx	391	6.5	6.25	1.0	1.0	I'm really confused at why multiple articles were mushed together like this. At first I was perturbed at the first article because I felt like the lady was being ridiculous. She weighs 500 pounds, so obviously a 1200 calorie diet is going to cause her to lose weight, the fact that she can't find a scale to weigh her doesn't matter. You don't need a scale to tell you're losing weight. Measure your body with measuring tape. But then I got to the article about the Mexican students and found it really horrifying. I can't believe the terrible things people do to one another :(	surprise	2	6	1	31	32000	6.0	3.5	4.5	6.0	5.5	4.428999999999999	3.429	4.571000000000001	4.571000000000001					
R_Y5LJykO4DHiE3p7_1	R_Y5LJykO4DHiE3p7	38	3.167	3.375	0.0	0.0	It's too bad that we are still in the middle east.  I wish Trump would just pull out of the middle east entirely so our soldiers will stop being targets for all the countries that hate us.  The longer we are there the easier we make it for them to inflict damage to our troops.  It must not be easy for them to be there away from their families.	joy	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857					
R_Y5LJykO4DHiE3p7_2	R_Y5LJykO4DHiE3p7	152	2.833	4.125	0.0	1.0	It's a shame that air pollution has potentially been linked to increased mental damage with young children.  We often don't take into account all the damage that the fossil fuel companies have done to our society.  We only praise them for creating the fuels we use but never tax them appropriately for all the damage that they cause us.	anger	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857					
R_Y5LJykO4DHiE3p7_3	R_Y5LJykO4DHiE3p7	242	2.667	2.375	0.0	0.0	It's a shame how troubled the middle east is and has been for the longest time.  I wish we could come to some agreement with the rest of the world on how to realistically handle the multiple situations in the middle east.  I feel that we should pull out and let them handle their problems on their own with only some guidance from us.	sadness	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857					
R_Y5LJykO4DHiE3p7_4	R_Y5LJykO4DHiE3p7	320	3.167	3.125	0.0	0.0	It's a shame that we have so many random acts of violence in this country.  It seems every other week we have some massacre involving either guns, a right wing extremist or a muslim extremist.  I think what they have in common are either mentally ill people or people who are extremist in their world views and religion.	disgust	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857					
R_Y5LJykO4DHiE3p7_5	R_Y5LJykO4DHiE3p7	409	4.333	3.75	1.0	0.0	This is just one of the negative consequences of long term war in a region.  The hospitals in Yemen have been devastated by war and no diseases are starting to spread among the population with no way to control them without outside help.  I hope the people of Yemen will be able to find humanitarian aid soon to help them control the spread of disease.	sadness	1	6	5	43	50000	6.5	4.5	1.5	5.5	6.0	3.714	1.429	3.571	2.857					
R_3irH7rjXqStHGZW_1	R_3irH7rjXqStHGZW	25	3.833	3.875	0.0	0.0	If you are using trumps name to make him look bad is not the answer here. I know that trump is not being a good president right now but lets not discredit his success. Somebody burned a church that is not related to Donald Trump at all, lots of Families go to that church. I think someone used this attack as an attack to Donald Trump because he is not affiliated with this and makes people look like he caused this	disgust	1	6	5	25	45000	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143					
R_3irH7rjXqStHGZW_2	R_3irH7rjXqStHGZW	127	3.667	4.25	0.0	1.0	I felt sad that the turtles are fading because of the habitat temperature rising annually. We, as humans can help I think by trying to not contribute to the increase of Carbon Dioxide consumption, we can stop global warming and try to help t he sea turtles from going extinct and so our children and grandchildren can see them in the future.	sadness	1	6	5	25	45000	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143					
R_3irH7rjXqStHGZW_3	R_3irH7rjXqStHGZW	181	2.667	3.625	0.0	0.0	This shooting is a good example of how black people and people w are wrongly prosecuted by the police. Now in this articles this gentlemen is getting a re-trial since they concur that he didn't do such thing and basically had the police lying to the judge. Now he can be fairly be judged and not be discriminated	disgust	1	6	5	25	45000	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143					
R_3irH7rjXqStHGZW_4	R_3irH7rjXqStHGZW	295	3.167	3.5	0.0	0.0	Felt bad reading the article because tons of people are losing basically their lives. The wild fires are destroying their farm, things, and even their animals. Without all of those things they cant have a proper living through buying and selling crops or animals. I hope we can donate to an organization nor something to help them	sadness	1	6	5	25	45000	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143					
R_3irH7rjXqStHGZW_5	R_3irH7rjXqStHGZW	415	3.667	4.0	0.0	1.0	I feel for her. They couldn’t afford to cremate them on their own and help them, and the financial help they were entitled to as crime victims had not come through because the system today isn't going to help criminals. I hope the government now helps criminals through dangerous activities and make the world a better place	sadness	1	6	5	25	45000	4.0	5.5	3.5	5.0	6.0	3.857	3.286	2.857	3.143					
R_2Y3T8M1nbUNrgGx_1	R_2Y3T8M1nbUNrgGx	72	6.332999999999999	7.0	1.0	1.0	I wish there was something more that I could do. This is getting out of hand, but it's kind of far away geographically from us. There needs to be something the international community can do. Farmers everywhere are killing pests and animals that interfere with their farms, but elephants are completely different from pests. They are extremely smart and are just hungry. I honestly wonder if we should come up with a plan to feed them, and this might sound crazy, but try to study elephants and come up with some way to communicate abstract ideas with them.	joy	1	6	5	36	50000	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143					
R_2Y3T8M1nbUNrgGx_2	R_2Y3T8M1nbUNrgGx	101	5.832999999999999	7.0	1.0	1.0	Climate change is extremely worrisome. And it is getting worse and worse every year. Something has to be done about it, and I think it starts with getting rid of corporate contributions to politicians and getting rid of lobbying. The world is dying and I think that needs to be clearly communicated to as many people as possible. Too many CEO's are thinking about their own profits. The system needs to limit their power and start focusing on the health of the species and the planet instead.	fear	1	6	5	36	50000	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143					
R_2Y3T8M1nbUNrgGx_3	R_2Y3T8M1nbUNrgGx	186	7.0	7.0	1.0	1.0	It's shocking how little people care about this and how little Africa gets mentioned in the news. This is horrific when you think about the number of victims and the people who are harmed. I wish people could focus on this. It's ridiculous that people are getting away with this and it is a huge crisis on the level of other genocides in history.	surprise	1	6	5	36	50000	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143					
R_2Y3T8M1nbUNrgGx_4	R_2Y3T8M1nbUNrgGx	298	2.5	3.0	0.0	0.0	I hope everyone is ok. I was in a small earthquake and it was extremely scary. A lot of people can die if you don't have safe buildings. I think there should be a major international effort to provide guidance for any nations in an earthquake prone region so that we can do a little bit to prevent more deaths when the earthquakes inevitably hit.	fear	1	6	5	36	50000	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143					
R_2Y3T8M1nbUNrgGx_5	R_2Y3T8M1nbUNrgGx	338	1.0	1.0	0.0	0.0	This doesn't sound too worrisome to me. If you are affected by depression, then you should decide as an individual to find another option. It's just a side effect, I think there are many medicines out there that have depression as a side effect. It is something that individuals should be aware of, but nothing critical.	neutral	1	6	5	36	50000	1.5	5.0	1.0	4.5	5.0	3.714	2.714	4.2860000000000005	4.143					
R_2xy5n7vmxTj4FY6_1	R_2xy5n7vmxTj4FY6	77	4.0	5.5	1.0	1.0	Here's an article about crazed person who murdered two unfortunate women overseas. Life is crazy. I can't imagine what the families are going through. Having to go to or being forced into sex work is bad enough, but for it to end like this is just sad. It feels like there's no place safe in this world to be a woman sometimes.	sadness	1	5	1	28	62000	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286					
R_2xy5n7vmxTj4FY6_2	R_2xy5n7vmxTj4FY6	151	1.0	5.5	0.0	1.0	Some people are just disturbed. Everyone is going to point to mental illness in something like this, but I fear that when things like this happens, it gets easier and easier just to point at people and call them mentally ill. I fear that eventually we are going to get to the point where you can classify someone as mentally ill by the crowd. Just finger pointing. I feel for these victims and the victims of crimes in the future because we spend too much time making excuses and pointing fingers rather than dealing with the problems at hand.	fear	1	5	1	28	62000	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286					
R_2xy5n7vmxTj4FY6_3	R_2xy5n7vmxTj4FY6	174	5.0	7.0	1.0	1.0	Every time I hear something about ISIS, I can't help but think about the role the US played in its creation and the horrors that have come from the vacuum of power in the region. I'm thankful to be American when I read something like this, but also ashamed at the same time in who we've chosen to represent us, not just now, but over the past 30 years.	sadness	1	5	1	28	62000	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286					
R_2xy5n7vmxTj4FY6_4	R_2xy5n7vmxTj4FY6	327	4.0	5.0	1.0	1.0	You know I'm not a fan of religion in any context, but this type of thing happens everywhere. There's always some idiot who goes off and uses religion, bigotry, sex, gender, anything really as an explanation. It's sad that you read something like this and it doesn't even feel like news. Perhaps its just our access that's making this seem ordinary.	sadness	1	5	1	28	62000	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286					
R_2xy5n7vmxTj4FY6_5	R_2xy5n7vmxTj4FY6	337	6.0	4.625	1.0	1.0	Reading stuff like this puts the refugee in perspective. There has to be something the international community can do that isn't taking in refugees permanently. The vast majority of these people just want to live and build something for themselves. It is of no fault of their own that they were unfortunate enough to be born within the fist of a crazed dictator.	sadness	1	5	1	28	62000	4.0	6.0	3.5	5.5	4.0	3.714	2.4290000000000003	3.286	3.286					
R_2WOvnpyfACBvT3K_1	R_2WOvnpyfACBvT3K	61	3.833	3.75	0.0	0.0	Hello, I thought this behavior was a thing of the past, but read this article, it is rather enlightening. I often think here in the US there is a great divide on how racial issues are dealt with, and the US is not the only one. There are many racial problems in other countries and that makes me feel hopeless for the future. If we can't fix the issues here in America, how can we critizice other countries?	surprise	2	5	2	41	60000	6.5	6.0	2.0	6.0	3.5	4.714	3.571	2.0	4.571000000000001					
R_2WOvnpyfACBvT3K_2	R_2WOvnpyfACBvT3K	104	4.667	5.375	1.0	1.0	The fact that human beings are abusing the planet and each other is evident in this article. It is enough to get you depressed, read this so you can get an idea of how pollution affects third wolrd countries. Instead of going after industries (probably all American) with fines, they rather close schools because of the pollution and smog. Their health is being affected and not only that, the enviroment is being completely abused.	sadness	2	5	2	41	60000	6.5	6.0	2.0	6.0	3.5	4.714	3.571	2.0	4.571000000000001					
R_2WOvnpyfACBvT3K_3	R_2WOvnpyfACBvT3K	245	5.667000000000001	3.75	1.0	0.0	How sad, if you get a chance read this and maybe share, it could be the difference for this person to find her family! Sometimes I see these announcements and I usually read and share them, I hope they find who she is and most importanly I hope they find her family and get her some help. I think the more people see, read and share this info, the bigger the chance to find her identity and family, imagine if it was someone you knew.	sadness	2	5	2	41	60000	6.5	6.0	2.0	6.0	3.5	4.714	3.571	2.0	4.571000000000001					
R_2WOvnpyfACBvT3K_4	R_2WOvnpyfACBvT3K	269	2.5	3.0	0.0	0.0	I know this article is super wordy, but it is an interesting read, if you have a chance ad you are bored, make sure you read it. It is about how Democrats will move forward in the next few years to get legoslation moving. It has been hard with Trump in the White House for the whole country, but imagine being a democrat right now trying to push legislation that your constituents are asking about? What a time to be alive! We should all just try to make the country a lot better right now!	joy	2	5	2	41	60000	6.5	6.0	2.0	6.0	3.5	4.714	3.571	2.0	4.571000000000001					
R_2WOvnpyfACBvT3K_5	R_2WOvnpyfACBvT3K	362	4.0	3.875	1.0	0.0	Reading about issues happening across the world seems foreign, but just think: any trouble anywhere in the world, the US is usually involved. I think any conflict and abuses of power in any nation in the world, especially in the middle east, can spell disaster for the people in the US. We can't really ignore issues that happen far away because ultimately as a nation, we will have to face the consequences, either by sending our troops or  any other effects.	sadness	2	5	2	41	60000	6.5	6.0	2.0	6.0	3.5	4.714	3.571	2.0	4.571000000000001					
R_QhPhN7wI0VGZAGd_1	R_QhPhN7wI0VGZAGd	33	1.0	4.5	0.0	1.0	How disgusting is Wells Fargo? It's unbelievable the way they treated their tellers, and all those fake accounts? Can you even? I don't understand how this bank doesn't get shut down. You really should think about getting an account with a different bank, you know. What if your SS got used to make some of those accounts?	anger	2	4	1	38	20000	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0					
R_QhPhN7wI0VGZAGd_2	R_QhPhN7wI0VGZAGd	143	2.0	3.875	0.0	0.0	Oh, but global warming isn't real, right? We have all kinds of time to fix the problem, right? It's not humans, it's natural variation, right? Holy crap are we ever ostriches as a species - are we going to dig our heads out of the sand in time? Change has to happen, and it has to happen now, we can't wait for all the old white men who run things to die	anger	2	4	1	38	20000	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0					
R_QhPhN7wI0VGZAGd_3	R_QhPhN7wI0VGZAGd	193	2.333	3.375	0.0	0.0	That's incredibly disgusting. I feel like it should count as a hate crime, and everyone on that boat who had anything to do with that incident should be brought before a judge and made to answer for their involvement. I really hope the LGBT community organizes some kind of boycott; Royal Caribbean should be made to feel financial pain for their negligence	disgust	2	4	1	38	20000	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0					
R_QhPhN7wI0VGZAGd_4	R_QhPhN7wI0VGZAGd	300	1.0	1.0	0.0	0.0	You know how you were having trouble sleeping? Here, read about people who have tinnitus - it'll put you to sleep. I feel like more should be done to help the seven percent who say their tinnitus is a big problem for them, though. That's the same as any other psychiatric complaint, right? If it's affecting your life so that you can't function normally, there should be some kind of help for you	neutral	2	4	1	38	20000	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0					
R_QhPhN7wI0VGZAGd_5	R_QhPhN7wI0VGZAGd	408	1.0	1.375	0.0	0.0	This is terrible, but what I find hard to believe is that there are still that many Yahoo accounts in the world that aren't spambots. Or some other kind of bots. Anyway, aren't you glad I got you on gmail? I'm glad I shut my yahoo account down a long time ago. You should probably do that, if you haven't, just for safety's sake.	anger	2	4	1	38	20000	3.0	6.5	1.0	6.0	1.5	4.428999999999999	4.0	4.857	4.0					
R_3Gm64BvSHkOeisK_1	R_3Gm64BvSHkOeisK	54	1.167	1.0	0.0	0.0	I just read an article about America's refugee problem, that talked about the Somali community in Minneapolis. I can't believe the emotional language they tried to use in the article; it just makes me sick to see any reporting that doesn't only concern the facts, with no editorializing by the author. I wish that everyone who decided to become a writer would learn that there is no place for opinion in the news.	sadness	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286					
R_3Gm64BvSHkOeisK_2	R_3Gm64BvSHkOeisK	106	1.0	1.25	0.0	0.0	I just read an article about some chowder-head who used a hammer and a pick ax to destroy Donald Trump's star on the Hollywood walk of fame. Wow, what a great protest. You sure showed him. Good job.  Lol, can you believe this garbage? Who has such a hollow and pathetic life that they don't have anything better to do with their time than commit petty vandalism because they dislike some politician? What a dingus.	anger	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286					
R_3Gm64BvSHkOeisK_3	R_3Gm64BvSHkOeisK	190	1.0	1.0	0.0	0.0	So, I had to read an article about somebody named Kylie Jenner, and evidently she has some sort of makeup line or something. Anyway, evidently she must be popular for some reason, because people are making counterfeit cosmetics and selling them as her brand. She put out some message about how you should only buy direct from her website. I guess a sucker is born every minute.	neutral	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286					
R_3Gm64BvSHkOeisK_4	R_3Gm64BvSHkOeisK	333	1.0	1.0	0.0	0.0	I read an article about Typhoon Meranti. The article said the storm passed by Taiwan without actually hitting the island, which I suppose was a good thing, because evidently there was another storm in 2009, Typhone Morakot, that killed a bunch of people and did billions of dollars of damage. I'm glad I don't live somewhere where there's any inclement weather like that, it must be miserable to live on an island where it's hot and crowded.	neutral	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286					
R_3Gm64BvSHkOeisK_5	R_3Gm64BvSHkOeisK	378	1.0	1.125	0.0	0.0	I read about this asshole Arcan Cetin who shot up a mall in Oak Harbor, Washington. Evidently before he did the shooting he had been placed under a no firearm order because he had been charged with domestic assault. I guess it just goes to show that gun laws are a pointless joke; if this guy had been a decent law abiding person no gun law would be needed, but because it was a criminal and a murderer the law didn't do anything to stop him from shooting up a mall.	disgust	1	4	1	34	55000	7.0	1.5	1.0	4.0	7.0	1.286	1.0	1.0	1.286					
R_3nHIf1uTyHztQY7_1	R_3nHIf1uTyHztQY7	39	6.167000000000001	5.125	1.0	1.0	I just read about a young male wolf that was shot dead after walking 700 miles in search of a mate. That seems pretty awful. I am thinking about all of the different paths that wolf walked along on his journey, only to see it end in disaster. Apparently it was a government sniper that killed him. I'm not sure why the government has snipers to kill wolves. If they are posing a direct threat, then of course animals must be killed, but I don't see that this wolf was threatening anyway. It seems dishonorable.	sadness	1	7	1	47	54000	3.5	6.0	2.0	4.0	4.0	3.286	2.857	3.857	2.857					
R_3nHIf1uTyHztQY7_2	R_3nHIf1uTyHztQY7	147	5.0	5.625	1.0	1.0	"I had heard about the huge fires burning in the Indonesia area and the haze clouds they are producing but I didn't realize it was so bad. Apparently there is a statistical study that says 100,000 people have been killed by this. The researchers tried to count ""early deaths"" and got that figure. I suspect the root problem is corruption. Some of the business owners in Indonesia and Malaysia are extremely rich and can act with impunity, even though their actions cause great harm to the environment and to humans near and far. Maybe they should be charged with crimes for the deaths. On the other hand I dislike the idea of people being convicted of crimes via statistical analysis. It is too easy to manipulate."	surprise	1	7	1	47	54000	3.5	6.0	2.0	4.0	4.0	3.286	2.857	3.857	2.857					
R_3nHIf1uTyHztQY7_3	R_3nHIf1uTyHztQY7	180	4.833	5.625	1.0	1.0	Apparently another Christian was murdered in a Muslim land, and the excuse was that he blasphemed, when he had really just shared an anti-ISIS cartoon. It is no wonder that religious minorities in Syria supported Assad. At least he protects them. He probably has committed atrocities, but it seems every side has committed atrocities there.  This murder was in Jordan, and even though the Jordanian royals come off as urbane Westerners, there is obviously an undercurrent of extreme Islamism in some of the population. Christians are murdered all the time around the world, but this rarely gets attention in the US media, which is completely corrupt.	anger	1	7	1	47	54000	3.5	6.0	2.0	4.0	4.0	3.286	2.857	3.857	2.857					
R_3nHIf1uTyHztQY7_4	R_3nHIf1uTyHztQY7	258	4.5	5.625	1.0	1.0	"The whole ""police violence against blacks"" theme has been overplayed to manipulate people. The fact is that there really is a problem of police feeling justified in shooting people whenever they feel threatened, but this doesn't just happen to blacks. I can think of four cases off the top of my head where innocent unarmed white men were killed by police. One of them was the recent case where the guy who died was the victim of ""swatting"". He wasn't involved in an crime at all, but the police burst into his house with guns blazing and he died. And the cop won't be prosecuted. I hope that blacks who care about this issue will realize they are being manipulated and will join forces with others who don't want to live in a police state."	anger	1	7	1	47	54000	3.5	6.0	2.0	4.0	4.0	3.286	2.857	3.857	2.857					
